							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
169	N-Acetylaspartate	N-Acetyl-L-aspartate	C01042				0.013	0.011	N.D.	0.0086	0.015	0.011	0.011	0.012	N.D.	0.01	0.01	N.D.	0.015	0.0059	0.011	0.012	0.009	N.D.	0.0096	0.012	0.0099	N.D.	0.009	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.008	N.D.	N.D.	N.D.	N.D.	0.0094	0.011	0.01	0.01	N.D.	0.012	N.D.	0.013	0.0095	0.018	0.01	N.D.	0.012	0.014	0.011	0.01	N.D.	0.012	-0.640203393
170	N-Acetyl-beta-alanine	N-Acetyl-beta-alanine	C01073				0.03	0.035	0.028	0.029	0.025	0.029	0.031	0.029	0.035	0.042	0.022	0.031	0.022	0.029	0.026	0.025	0.021	0.021	0.022	0.033	0.025	0.028	0.03	0.034	N.D.	0.04	0.039	0.04	0.034	0.017	0.025	0.031	N.D.	0.024	0.022	0.047	0.031	0.023	0.028	0.05	0.026	0.024	N.D.	0.027	0.03	N.D.	0.021	0.037	0.026	0.026	0.026	0.033	0.024	0.025	0.017	0.025	0.021	0.028	0.033	N.D.	0.029	0.027	0.02	0.025	0.032	0.033	0.028	0.037	0.024	0.029	0.02	0.016	-0.344302071
171	Thiamine monophosphate	Thiamin monophosphate	C01081				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.065	N.D.	0.086	N.D.	N.D.	N.D.	0.063	0.065	0.07	0.057	0.078	0.071	0.05	0.049	0.068	0.045	0.041	0.071	0.06	0.075	0.061	0.06	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
172	3-Hydroxybutyrate	(R)-3-Hydroxybutanoate	C01089	C03197			0.075	0.056	0.048	0.023	0.02	0.048	0.045	0.059	0.078	0.053	0.05	0.049	0.04	0.048	0.048	0.077	0.06	0.044	0.036	0.044	0.058	0.04	0.083	0.073	0.13	0.12	N.D.	0.088	0.084	0.081	0.072	0.075	N.D.	0.068	0.094	0.1	0.089	0.069	N.D.	0.094	0.087	0.1	0.075	0.091	0.092	N.D.	0.095	N.D.	0.051	0.062	0.062	0.053	0.07	0.055	0.036	0.055	0.084	0.063	0.068	0.05	0.048	0.052	0.071	0.069	0.077	0.076	0.097	0.079	0.073	0.088	0.071	0.1	0.655529455
173	Sorbitol 6-phosphate	Sorbitol 6-phosphate	C01096				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.053	0.052	N.D.	0.055	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
174	Trimethylamine N-oxide	Trimethylamine N-oxide	C01104				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.029	N.D.	N.D.	N.D.	N.D.	0.03	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
175	3-Methylhistidine	N(pi)-Methyl-L-histidine	C01152				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.01	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
176	"2,3-DPG"	"2,3-Bisphospho-D-glycerate"	C01159	C03339			0.24	0.52	0.39	0.27	0.28	0.45	0.45	0.33	0.43	0.34	0.42	0.34	0.5	0.52	0.37	0.33	0.35	0.29	0.57	0.31	0.36	0.4	0.68	0.31	0.37	0.45	0.42	0.53	0.51	0.51	0.28	0.25	0.26	0.27	0.42	0.36	0.6	0.38	0.35	0.49	0.18	0.37	0.35	0.37	0.63	0.65	0.29	0.33	0.27	0.28	0.26	0.26	0.25	0.27	0.29	0.23	0.24	0.25	0.22	0.28	0.4	0.29	0.24	0.32	0.24	0.26	0.3	0.26	0.34	0.36	0.32	0.29	0.485013731
177	gamma-Butyrobetaine	4-Trimethylammoniobutanoate	C01181				4.8	4.8	5.3	4.5	4.7	5.4	2.4	4.4	4.4	4.6	5.2	3.9	3.9	3.9	5.5	5.4	4.9	4.3	3.7	5.5	5.8	5.1	5	5.2	0.034	0.026	0.024	0.019	0.022	0.018	0.018	0.021	0.02	0.021	0.019	0.014	0.018	0.016	0.013	0.014	0.016	0.014	0.027	0.012	0.014	0.012	0.011	0.015	4	4.1	3.3	2.6	3.3	3.3	3.5	2.3	3.9	2.5	3.1	3.2	2.3	3.1	2.8	3.7	2.6	3	2.7	2.1	4	3.4	3.1	2.7	0.187357013
178	"Ribulose 1,5-diphosphate"	"D-Ribulose 1,5-bisphosphate"	C01182	C01151			0.03	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.026	N.D.	N.D.	0.033	N.D.	0.026	0.03	0.034	N.D.	0.025	N.D.	N.D.	N.D.	N.D.	N.D.	0.06	0.062	N.D.	0.029	N.D.	N.D.	0.028	0.025	0.036	0.046	0.041	N.D.	0.072	N.D.	N.D.	N.D.	N.D.	0.067	N.D.	N.D.	0.071	0.049	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	N.D.	N.D.	0.024	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.532738304
179	1-Aminocyclopropane-1-carboxylate	1-Aminocyclopropane-1-carboxylate	C01234				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.023	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
180	"P1, P4-Di(adenosine-5') tetraphosphate"	"P1,P4-Bis(5'-adenosyl) tetraphosphate"	C01260				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
181	Glu-Glu	Glutamyl-glutamic acid	C01425				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	0.017	N.D.	0.012	0.014	0.016	0.0094	N.D.	N.D.	0.014	0.013	0.0091	0.01	0.0082	0.015	N.D.	N.D.	0.023	N.D.	0.011	N.D.	0.013	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
182	Allantoin	Allantoin	C01551	C02350	C02348		0.77	1.7	N.D.	0.54	1.6	1.2	N.D.	1.2	1.4	1.6	1.1	1.3	0.14	1.8	1.7	1.5	0.97	2.2	1.1	2	1.9	1.7	1.2	1.4	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	1.4	1.2	1.3	N.D.	0.98	0.79	1.5	1.1	1.1	1.6	1.2	1.7	1.4	1.5	1.5	1.1	N.D.	1.5	N.D.	1.5	1.6	1.5	N.D.	N.D.	0.691717885
183	Decanoate	Decanoic acid	C01571				0.08	0.055	0.048	0.071	0.069	0.061	0.069	0.023	0.064	0.075	0.055	0.074	0.08	0.081	0.054	0.079	0.095	0.082	0.066	0.086	0.085	0.08	0.07	0.075	0.076	0.075	0.11	0.11	0.097	0.11	0.11	0.11	0.089	0.095	0.12	0.075	0.094	0.11	0.11	0.1	0.1	0.072	0.076	0.079	0.059	0.071	0.12	0.091	0.056	0.076	0.078	0.14	0.098	0.11	0.054	0.11	0.069	0.045	0.092	0.044	0.053	0.043	0.075	0.11	0.1	0.052	0.1	0.056	0.052	0.061	0.11	0.062	-0.293210455
184	Hexanoate	Hexanoic acid	C01585				0.073	0.063	0.055	0.037	0.057	0.055	0.053	0.068	0.078	0.084	0.079	0.08	0.072	0.082	0.072	0.07	0.079	0.094	0.087	0.11	0.082	0.088	0.094	0.093	0.12	0.1	0.13	0.12	0.11	0.12	0.11	0.1	0.14	0.12	0.14	0.12	0.11	0.1	0.14	0.15	0.14	0.11	0.13	0.12	0.13	0.12	0.14	0.093	0.11	0.099	0.1	0.1	0.1	0.098	0.099	0.11	0.094	0.11	0.12	0.11	0.11	0.1	0.09	0.11	0.15	0.11	0.13	0.15	0.15	0.16	0.13	0.15	0.584648742
185	Pelargonate	Nonanoic acid	C01601				0.19	0.12	0.12	0.17	0.16	0.14	0.19	0.12	0.16	0.12	0.14	0.15	0.18	0.16	0.16	0.21	0.23	0.16	0.16	0.18	0.17	0.17	0.17	0.18	0.21	0.16	0.25	0.24	0.21	0.23	0.24	0.27	0.27	0.19	0.28	0.17	0.21	0.26	0.27	0.26	0.24	0.14	0.17	0.22	0.12	0.15	0.2	0.21	0.13	0.14	0.19	0.28	0.19	0.21	0.13	0.23	0.13	0.11	0.2	0.13	0.12	0.13	0.17	0.19	0.2	0.14	0.19	0.12	0.12	0.16	0.22	0.15	-0.291947226
186	Phthalate	Phthalate	C01606				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0047	0.029	N.D.	N.D.	N.D.	0.011	N.D.	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	0.04	0.033	0.041	0.027	0.017	0.018	0.02	0.024	0.025	0.016	0.019	N.D.	0.023	0.015	0.015	0.015	0.013	0.013	0.014	0.011	0.02	0.016	0.011	0.015	N.D.	N.D.	0.016	0.013	N.D.	0.0057	0.018	0.013	0.0098	N.D.	N.D.	N.D.	0.023	N.D.	0.0078	0.01	N.D.	N.D.	0.02	0.017	0.011	N.D.	N.D.	N.D.	-0.406460285
187	Threonate	Threonate	C01620				0.35	0.37	0.37	0.4	0.37	0.4	0.35	0.33	0.3	0.33	0.41	0.46	0.35	0.34	0.38	0.34	0.33	0.32	0.46	0.39	0.34	0.29	0.37	0.33	0.38	0.41	0.47	0.5	0.4	0.5	0.42	0.4	0.41	0.42	0.53	0.48	0.46	0.46	0.49	0.42	0.45	0.54	0.52	0.56	0.45	0.47	0.48	0.43	0.23	0.3	0.3	0.37	0.33	0.28	0.27	0.28	0.26	0.29	0.37	0.31	0.37	0.37	0.4	0.32	0.25	0.35	0.32	0.35	0.35	0.39	0.38	0.36	0.353009423
188	N-alpha-Benzenolarginine ethylester	Bz-Arg-OEt	C01670				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0059	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
189	Cadaverine	Cadaverine	C01672				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
190	Octylamine	Octylamine	C01740				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0039	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.011	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
191	5-Oxoproline	Pidolic acid	C01879				5.8	3.9	4.1	4.1	4.3	4.6	4.8	5.6	5.8	3.6	4.1	4.4	4.2	4.7	5.7	5.7	5.3	3.7	3.9	4.4	4.2	4.5	5.8	7.6	6.6	4	4	3.9	4.3	4.2	5.4	5.8	5.5	3.8	3.6	4	4.8	4.2	5.8	7.2	5.6	4.2	4	5.1	4.7	3.9	6	6.6	4.5	3	3.6	3.3	3.2	3.8	4.2	4.7	4.9	3.4	3.3	3.3	3.1	4.3	4.9	5.5	4.7	2.9	3.1	4	3.4	4.1	5.1	5.8	0.796714883
192	Lysinamide	L-Lysinamide	C01930				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
193	Acetylcholine	Acetylcholine	C01996				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	1.1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
194	Benzimidazole	Benzimidazole	C02009				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
195	Gly-Gly	Glycylglycine	C02037				0.1	0.081	0.11	0.1	0.08	0.13	N.D.	0.099	N.D.	0.075	N.D.	0.15	N.D.	N.D.	0.12	0.11	N.D.	N.D.	0.1	0.078	0.062	0.11	N.D.	0.12	0.1	N.D.	0.086	N.D.	N.D.	N.D.	N.D.	0.093	0.091	0.12	0.087	0.12	0.067	0.08	0.085	0.078	0.081	0.083	0.099	0.095	0.057	0.059	0.076	0.07	0.13	0.11	0.11	0.11	0.094	0.077	0.11	0.084	0.1	0.14	N.D.	0.094	N.D.	0.11	0.093	N.D.	0.11	N.D.	0.14	0.1	N.D.	N.D.	N.D.	0.12	-0.900887799
196	4-Acetylbutyrate	5-Oxohexanoic acid	C02129				0.081	0.069	0.072	0.082	0.085	0.076	0.089	0.086	0.096	0.091	0.098	0.086	0.085	0.085	0.095	0.087	0.11	0.085	0.1	0.094	0.085	0.11	0.11	0.1	0.17	0.12	0.084	0.094	0.094	0.1	0.098	0.09	0.16	0.11	0.11	0.11	0.098	0.097	0.12	0.1	0.11	0.089	0.1	0.094	0.11	0.1	0.11	0.11	0.091	0.088	0.085	0.087	0.089	0.088	0.096	0.094	0.088	0.077	0.09	0.1	0.091	0.097	0.092	0.11	0.13	0.12	0.14	0.12	0.12	0.15	0.13	0.13	1.914336744
197	Gly-Leu	Glycyl-leucine	C02155				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.025	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
198	Citraconate	2-Methylmaleate	C02226				0.0047	N.D.	N.D.	N.D.	N.D.	N.D.	0.0045	0.0038	N.D.	N.D.	N.D.	0.0045	0.0045	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.004	N.D.	N.D.	N.D.	0.021	0.018	0.0085	0.0078	0.0073	N.D.	0.03	N.D.	0.015	N.D.	N.D.	0.0087	N.D.	N.D.	N.D.	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0034	N.D.	0.0082	N.D.	N.D.	N.D.	0.0033	N.D.	0.003	0.0062	0.0047	0.0045	0.0063	0.0037	0.0035	0.0041	N.D.	0.0077	0.0099	0.0064	N.D.	N.D.	N.D.	0.2091367
199	3-Methylguanine	3-Methylguanine	C02230				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.024	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
200	Castanospermine	Castanospermine	C02256				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
201	Cystathionine	L-Cystathionine	C02291	C00542			0.26	0.26	0.29	0.29	0.28	0.29	0.28	0.32	0.31	0.25	0.35	0.27	0.24	0.3	0.34	0.4	0.27	0.34	0.27	0.28	0.23	0.29	0.29	0.3	0.3	0.26	0.25	0.27	0.22	0.23	0.23	0.26	0.22	0.22	0.22	0.24	0.23	0.21	0.23	0.33	0.22	0.22	0.24	0.24	0.22	0.21	0.23	0.33	0.38	0.28	0.29	0.39	0.33	0.33	0.41	0.36	0.28	0.3	0.33	0.26	0.31	0.38	0.37	0.39	0.27	0.29	0.33	0.3	0.36	0.37	0.31	0.45	-0.299011494
202	2AB	(S)-2-Aminobutanoate	C02356	C02261			N.D.	N.D.	0.052	0.036	0.03	0.042	0.047	N.D.	N.D.	N.D.	0.045	0.048	0.032	0.05	0.029	N.D.	N.D.	0.043	0.025	0.037	0.048	N.D.	N.D.	0.036	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.042	N.D.	N.D.	0.027	N.D.	N.D.	0.036	N.D.	0.021	0.03	0.027	0.019	0.033	0.044	0.031	N.D.	N.D.	0.03	N.D.	0.031	0.035	0.035	N.D.	N.D.	0.026	N.D.	N.D.	0.043	N.D.	0.035	N.D.
203	6-Aminohexanoate	6-Aminohexanoate	C02378				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.024	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
204	alpha-Methylbenzylamine	1-Phenylethylamine	C02455				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
205	beta-Leucine	(3R)-beta-Leucine	C02486				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.022	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
